Numéro tarifaire,Position du Système harmonisé (SH),Description indicative
0210.99.12,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats.","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : AutresViande de volailles : De coqs et poules, au-dessus de l'engagement d'accès, non désossés"
0210.99.13,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats.","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : AutresViande de volailles : De coqs et poules, au-dessus de l'engagement d'accès, désossés"
0210.99.14,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats.","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : AutresViande de volailles : De dindons et dindes, dans les limites de l'engagement d'accès"
0210.99.15,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats.","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : AutresViande de volailles : De dindons et dindes, au-dessus de l'engagement d'accès, non désossés"
0210.99.16,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats.","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : AutresViande de volailles : De dindons et dindes, au-dessus de l'engagement d'accès, désossés"
0401.10.20,"Lait et crème de lait, non concentrés ni additionnés de sucre ou d'autres édulcorants.",D'une teneur en poids de matières grasses n'excédant pas 1 %Au-dessus de l'engagement d'accès
0401.20.20,"Lait et crème de lait, non concentrés ni additionnés de sucre ou d'autres édulcorants.",D'une teneur en poids de matières grasses excédant 1 % mais n'excédant pas 6 %Au-dessus de l'engagement d'accès
0401.40.20,"Lait et crème de lait, non concentrés ni additionnés de sucre ou d'autres édulcorants.",D'une teneur en poids de matières grasses excédant 6 % mais n'excédant pas 10 %Au-dessus de l'engagement d'accès
0401.50.20,"Lait et crème de lait, non concentrés ni additionnés de sucre ou d'autres édulcorants.",D'une teneur en poids de matières grasses excédant 10 %Au-dessus de l'engagement d'accès
0402.10.20,"Lait et crème de lait, concentrés ou additionnés de sucre ou d'autres édulcorants.","En poudre, en granulés ou sous d'autres formes solides, d'une teneur en poids de matières grasses n'excédant pas 1,5 %Au-dessus de l'engagement d'accès"
0402.21.12,"Lait et crème de lait, concentrés ou additionnés de sucre ou d'autres édulcorants.","En poudre, en granulés ou sous d'autres formes solides, d'une teneur en poids de matières grasses excédant 1,5 % : Sans addition de sucre ou d'autres édulcorantsLait : Au-dessus de l'engagement d'accès"
0402.21.22,"Lait et crème de lait, concentrés ou additionnés de sucre ou d'autres édulcorants.","En poudre, en granulés ou sous d'autres formes solides, d'une teneur en poids de matières grasses excédant 1,5 % : Sans addition de sucre ou d'autres édulcorantsCrème : Au-dessus de l'engagement d'accès"
0402.29.12,"Lait et crème de lait, concentrés ou additionnés de sucre ou d'autres édulcorants.","En poudre, en granulés ou sous d'autres formes solides, d'une teneur en poids de matières grasses excédant 1,5 % : AutresLait : Au-dessus de l'engagement d'accès"
0402.29.22,"Lait et crème de lait, concentrés ou additionnés de sucre ou d'autres édulcorants.","En poudre, en granulés ou sous d'autres formes solides, d'une teneur en poids de matières grasses excédant 1,5 % : AutresCrème : Au-dessus de l'engagement d'accès"
0402.91.20,"Lait et crème de lait, concentrés ou additionnés de sucre ou d'autres édulcorants.",Autres : Sans addition de sucre ou d'autres édulcorantsAu-dessus de l'engagement d'accès
0402.99.20,"Lait et crème de lait, concentrés ou additionnés de sucre ou d'autres édulcorants.",Autres : AutresAu-dessus de l'engagement d'accès
0403.20.10,"Yoghourt; babeurre, lait et crème caillés, képhir et autres laits et crèmes fermentés ou acidifiés, même concentrés ou additionnés de sucre ou d'autres édulcorants ou aromatisés ou additionnés de fruits ou de cacao.","YoghourtContenant chocolat, épices, café ou extraits de café, plantes, parties de plantes, céréales ou produits de la boulangerie, pour autant que les substances ajoutées ne soient pas utilisées en vue de remplacer, en tout ou en partie, l'un des constituants du lait et que le produit conserve le caractère essentiel du yoghourt, conditionnés pour la vente au détail"
0403.20.31,"Yoghourt; babeurre, lait et crème caillés, képhir et autres laits et crèmes fermentés ou acidifiés, même concentrés ou additionnés de sucre ou d'autres édulcorants ou aromatisés ou additionnés de fruits ou de cacao.","YoghourtAu-dessus de l'engagement d'accès : Contenant chocolat, épices, café ou extraits de café, plantes, parties de plantes, céréales ou produits de la boulangerie, pour autant que les substances ajoutées ne soient pas utilisées en vue de remplacer, en tout ou en partie, l'un des constituants du lait et que le produit conserve le caractère essentiel du yoghourt, non conditionnés pour la vente au détail"
0403.20.39,"Yoghourt; babeurre, lait et crème caillés, képhir et autres laits et crèmes fermentés ou acidifiés, même concentrés ou additionnés de sucre ou d'autres édulcorants ou aromatisés ou additionnés de fruits ou de cacao.",YoghourtAu-dessus de l'engagement d'accès : Autres
0403.90.12,"Yoghourt; babeurre, lait et crème caillés, képhir et autres laits et crèmes fermentés ou acidifiés, même concentrés ou additionnés de sucre ou d'autres édulcorants ou aromatisés ou additionnés de fruits ou de cacao.",AutresBabeurre en poudre : Au-dessus de l'engagement d'accès
0403.90.92,"Yoghourt; babeurre, lait et crème caillés, képhir et autres laits et crèmes fermentés ou acidifiés, même concentrés ou additionnés de sucre ou d'autres édulcorants ou aromatisés ou additionnés de fruits ou de cacao.",AutresAutres : Au-dessus de l'engagement d'accès
0404.10.10,"Lactosérum, même concentré ou additionné de sucre ou d'autres édulcorants; produits consistant en composants naturels du lait, même additionnés de sucre ou d'autres édulcorants, non dénommés ni compris ailleurs.","Lactosérum, modifié ou non, même concentré ou additionné de sucre ou d'autres édulcorantsConcentré de protéines de lactosérum"
0404.10.22,"Lactosérum, même concentré ou additionné de sucre ou d'autres édulcorants; produits consistant en composants naturels du lait, même additionnés de sucre ou d'autres édulcorants, non dénommés ni compris ailleurs.","Lactosérum, modifié ou non, même concentré ou additionné de sucre ou d'autres édulcorantsLactosérum en poudre : Au-dessus de l'engagement d'accès"
0404.10.90,"Lactosérum, même concentré ou additionné de sucre ou d'autres édulcorants; produits consistant en composants naturels du lait, même additionnés de sucre ou d'autres édulcorants, non dénommés ni compris ailleurs.","Lactosérum, modifié ou non, même concentré ou additionné de sucre ou d'autres édulcorantsAutres"
0404.90.20,"Lactosérum, même concentré ou additionné de sucre ou d'autres édulcorants; produits consistant en composants naturels du lait, même additionnés de sucre ou d'autres édulcorants, non dénommés ni compris ailleurs.",AutresAu-dessus de l'engagement d'accès
0405.10.20,Beurre et autres matières grasses provenant du lait; pâtes à tartiner laitières.,BeurreAu-dessus de l'engagement d'accès
0405.20.20,Beurre et autres matières grasses provenant du lait; pâtes à tartiner laitières.,Pâtes à tartiner laitièresAu-dessus de l'engagement d'accès
0405.90.20,Beurre et autres matières grasses provenant du lait; pâtes à tartiner laitières.,AutresAu-dessus de l'engagement d'accès
0406.10.20,Fromages et caillebotte.,"Fromages frais (non affinés), y compris le fromage de lactosérum, et caillebotteAu-dessus de l'engagement d'accès"
0406.20.12,Fromages et caillebotte.,"Fromages râpés ou en poudre, de tous typesCheddar et du type Cheddar : Au-dessus de l'engagement d'accès"
0406.20.92,Fromages et caillebotte.,"Fromages râpés ou en poudre, de tous typesAutres : Au-dessus de l'engagement d'accès"
0406.30.20,Fromages et caillebotte.,"Fromages fondus, autres que râpés ou en poudreAu-dessus de l'engagement d'accès"
0406.40.20,Fromages et caillebotte.,Fromages à pâte persillée et autres fromages présentant des marbrures obtenues en utilisant du Penicillium roquefortiAu-dessus de l'engagement d'accès
0406.90.12,Fromages et caillebotte.,Autres fromagesCheddar et du type Cheddar : Au-dessus de l'engagement d'accès
0406.90.22,Fromages et caillebotte.,Autres fromagesCamembert et du type Camembert : Au-dessus de l'engagement d'accès
0406.90.32,Fromages et caillebotte.,Autres fromagesBrie et du type Brie : Au-dessus de l'engagement d'accès
0406.90.42,Fromages et caillebotte.,Autres fromagesGouda et du type Gouda : Au-dessus de l'engagement d'accès
0406.90.52,Fromages et caillebotte.,Autres fromagesProvolone et du type Provolone : Au-dessus de l'engagement d'accès
0406.90.62,Fromages et caillebotte.,Autres fromagesMozzarella et du type Mozzarella : Au-dessus de l'engagement d'accès
0406.90.72,Fromages et caillebotte.,Autres fromagesSuisse/Emmental et du type Suisse/Emmental : Au-dessus de l'engagement d'accès
0406.90.82,Fromages et caillebotte.,Autres fromagesGruyère et du type Gruyère : Au-dessus de l'engagement d'accès
0406.90.92,Fromages et caillebotte.,"Autres fromagesAutres : Havarti et du type Havarti, au-dessus de l'engagement d'accès"
0406.90.94,Fromages et caillebotte.,"Autres fromagesAutres : Parmesan et du type Parmesan, au-dessus de l'engagement d'accès"
0406.90.96,Fromages et caillebotte.,"Autres fromagesAutres : Romano et du type Romano, au-dessus de l'engagement d'accès"
0406.90.99,Fromages et caillebotte.,"Autres fromagesAutres : Autres, au-dessus de l'engagement d'accès"
0407.11.12,"Oeufs d'oiseaux, en coquilles, frais, conservés ou cuits.","Oeufs fertilisés destinés à l'incubation : De volailles de l'espèce Gallus domesticusD'incubation, pour poulets à chair : Au-dessus de l'engagement d'accès"
0407.11.92,"Oeufs d'oiseaux, en coquilles, frais, conservés ou cuits.",Oeufs fertilisés destinés à l'incubation : De volailles de l'espèce Gallus domesticusAutres: Au-dessus de l'engagement d'accès
0407.21.20,"Oeufs d'oiseaux, en coquilles, frais, conservés ou cuits.",Autres oeufs frais : De volailles de l'espèce Gallus domesticusAu-dessus de l'engagement d'accès
0407.90.11,"Oeufs d'oiseaux, en coquilles, frais, conservés ou cuits.",AutresDe volailles de l'espèce Gallus domesticus : Dans les limites de l'engagement d'accès
0407.90.12,"Oeufs d'oiseaux, en coquilles, frais, conservés ou cuits.",AutresDe volailles de l'espèce Gallus domesticus : Au-dessus de l'engagement d'accès
0408.11.20,"Oeufs d'oiseaux, dépourvus de leurs coquilles, et jaunes d'oeufs, frais, séchés, cuits à l'eau ou à la vapeur, moulés, congelés ou autrement conservés, même additionnés de sucre ou d'autres édulcorants.",Jaunes d'oeufs : SéchésAu-dessus de l'engagement d'accès
0408.19.10,"Oeufs d'oiseaux, dépourvus de leurs coquilles, et jaunes d'oeufs, frais, séchés, cuits à l'eau ou à la vapeur, moulés, congelés ou autrement conservés, même additionnés de sucre ou d'autres édulcorants.",Jaunes d'oeufs : AutresDans les limites de l'engagement d'accès
0408.19.20,"Oeufs d'oiseaux, dépourvus de leurs coquilles, et jaunes d'oeufs, frais, séchés, cuits à l'eau ou à la vapeur, moulés, congelés ou autrement conservés, même additionnés de sucre ou d'autres édulcorants.",Jaunes d'oeufs : AutresAu-dessus de l'engagement d'accès
0408.99.10,"Oeufs d'oiseaux, dépourvus de leurs coquilles, et jaunes d'oeufs, frais, séchés, cuits à l'eau ou à la vapeur, moulés, congelés ou autrement conservés, même additionnés de sucre ou d'autres édulcorants.",Autres : AutresDans les limites de l'engagement d'accès
0408.99.20,"Oeufs d'oiseaux, dépourvus de leurs coquilles, et jaunes d'oeufs, frais, séchés, cuits à l'eau ou à la vapeur, moulés, congelés ou autrement conservés, même additionnés de sucre ou d'autres édulcorants.",Autres : AutresAu-dessus de l'engagement d'accès
0409.00.00,Miel naturel.,
0702.00.10,"Tomates, à l'état frais ou réfrigéré.",Pour la transformation
0702.00.21,"Tomates, à l'état frais ou réfrigéré.","Tomates cerises, autres que pour la transformation : Importées au cours d'une période spécifiée par arrêté du ministre de la Sécurité publique et de la Protection civile ou du président de l'Agence des services frontaliers du Canada, temps qui peut se diviser en deux périodes distinctes, mais n'excédant pas un total de 32 semaines au cours d'une période de 12 mois se terminant le 31 mars"
0702.00.29,"Tomates, à l'état frais ou réfrigéré.","Tomates cerises, autres que pour la transformation : Autres"
0702.00.91,"Tomates, à l'état frais ou réfrigéré.","Autres : Importées au cours d'une période spécifiée par arrêté du ministre de la Sécurité publique et de la Protection civile ou du président de l'Agence des services frontaliers du Canada, temps qui peut se diviser en deux périodes distinctes, mais n'excédant pas un total de 32 semaines au cours d'une période de 12 mois se terminant le 31 mars"
0702.00.99,"Tomates, à l'état frais ou réfrigéré.",Autres : Autres
0708.20.30,"Légumes à cosse, écossés ou non, à l'état frais ou réfrigéré.","Haricots (Vigna spp., Phaseolus spp.)Autres haricots, mange-tout"
0708.20.90,"Légumes à cosse, écossés ou non, à l'état frais ou réfrigéré.","Haricots (Vigna spp., Phaseolus spp.)Autres"
0802.99.00,"Autres fruits à coques, frais ou secs, même sans leurs coques ou décortiqués.",Autres : AutresAutres
0805.10.00,"Agrumes, frais ou secs.",Oranges
0805.21.00,"Agrumes, frais ou secs.","Mandarines (y compris les tangerines et satsumas); clémentines, wilkings et hybrides similaires d'agrumes : Mandarines (y compris les tangerines et satsumas)"
0805.22.00,"Agrumes, frais ou secs.","Mandarines (y compris les tangerines et satsumas); clémentines, wilkings et hybrides similaires d'agrumes : Clémentines"
0805.29.00,"Agrumes, frais ou secs.","Mandarines (y compris les tangerines et satsumas); clémentines, wilkings et hybrides similaires d'agrumes : Autres"
0805.40.00,"Agrumes, frais ou secs.",Pamplemousses et pomelos
0805.50.00,"Agrumes, frais ou secs.","Citrons (Citrus limon, Citrus limonum) et limes (Citrus aurantifolia, Citrus latifolia)"
0807.11.00,"Melons (y compris les pastèques) et papayes, frais.",Melons (y compris les pastèques) : Pastèques
0809.30.10,"Abricots, cerises, pêches (y compris les brugnons et nectarines), prunes et prunelles, frais.","Pêches, y compris les brugnons et nectarinesPêches, à l'exclusion des nectarines, pour la transformation"
0809.30.21,"Abricots, cerises, pêches (y compris les brugnons et nectarines), prunes et prunelles, frais.","Pêches, y compris les brugnons et nectarinesAutres pêches, à leur état naturel, à l'exclusion des nectarines : Importées au cours d'une période spécifiée par arrêté du ministre de la Sécurité publique et de la Protection civile ou du président de l'Agence des services frontaliers du Canada, mais n'excédant pas 14 semaines au cours d'une période de 12 mois se terminant le 31 mars"
0809.30.29,"Abricots, cerises, pêches (y compris les brugnons et nectarines), prunes et prunelles, frais.","Pêches, y compris les brugnons et nectarinesAutres pêches, à leur état naturel, à l'exclusion des nectarines : Autres"
0811.20.00,"Fruits, non cuits ou cuits à l'eau ou à la vapeur, congelés, même additionnés de sucre ou d'autres édulcorants.","Framboises, mûres de ronce ou de mûrier, mûres-framboises et groseilles à grappes ou à maquereau"
0901.11.00,"Café, même torréfié ou décaféiné; coques et pellicules de café; succédanés du café contenant du café, quelles que soient les proportions du mélange.",Café non torréfié : Non décaféiné
0901.12.00,"Café, même torréfié ou décaféiné; coques et pellicules de café; succédanés du café contenant du café, quelles que soient les proportions du mélange.",Café non torréfié : Décaféiné
0901.21.00,"Café, même torréfié ou décaféiné; coques et pellicules de café; succédanés du café contenant du café, quelles que soient les proportions du mélange.",Café torréfié : Non décaféiné
0901.22.00,"Café, même torréfié ou décaféiné; coques et pellicules de café; succédanés du café contenant du café, quelles que soient les proportions du mélange.",Café torréfié : Décaféiné
0901.90.00,"Café, même torréfié ou décaféiné; coques et pellicules de café; succédanés du café contenant du café, quelles que soient les proportions du mélange.",Autres
0902.10.10,"Thé, même aromatisé.",Thé vert (non fermenté) présenté en emballages immédiats d'un contenu n'excédant pas 3 kgEn sachets de portion individuelle
0902.10.90,"Thé, même aromatisé.",Thé vert (non fermenté) présenté en emballages immédiats d'un contenu n'excédant pas 3 kgAutres
0902.20.00,"Thé, même aromatisé.",Thé vert (non fermenté) présenté autrement
0902.30.10,"Thé, même aromatisé.","Thé noir (fermenté) et thé partiellement fermenté, présentés en emballages immédiats d'un contenu n'excédant pas 3 kgEn sachets de portion individuelle"
0902.30.90,"Thé, même aromatisé.","Thé noir (fermenté) et thé partiellement fermenté, présentés en emballages immédiats d'un contenu n'excédant pas 3 kgAutres"
0902.40.00,"Thé, même aromatisé.","Thé noir (fermenté) et thé partiellement fermenté, présentés autrement"
0903.00.00,Maté.,
0904.11.00,"Poivre du genre Piper; piments du genre Capsicum ou du genre Pimenta, séchés ou broyés ou pulvérisés.",Poivre : Non broyé ni pulvérisé
0904.12.10,"Poivre du genre Piper; piments du genre Capsicum ou du genre Pimenta, séchés ou broyés ou pulvérisés.",Poivre : Broyé ou pulvériséPour la transformation
0904.12.90,"Poivre du genre Piper; piments du genre Capsicum ou du genre Pimenta, séchés ou broyés ou pulvérisés.",Poivre : Broyé ou pulvériséAutres
0904.21.00,"Poivre du genre Piper; piments du genre Capsicum ou du genre Pimenta, séchés ou broyés ou pulvérisés.","Piments du genre Capsicum ou de genre Pimenta : Séchés, non broyés ni pulvérisés"
0904.22.00,"Poivre du genre Piper; piments du genre Capsicum ou du genre Pimenta, séchés ou broyés ou pulvérisés.",Piments du genre Capsicum ou de genre Pimenta : Broyés ou pulvérisés
0905.10.00,Vanille.,Non broyée ni pulvérisée
0905.20.00,Vanille.,Broyée ou pulvérisée
0906.11.00,Cannelle et fleurs de cannelier.,Non broyées ni pulvérisées : Cannelle (Cinnamonum zeylanicum Blume)
0906.19.00,Cannelle et fleurs de cannelier.,Non broyées ni pulvérisées : Autres
0906.20.00,Cannelle et fleurs de cannelier.,Broyées ou pulvérisées
0907.10.00,"Girofles (antofles, clous et griffes).",Non broyés ni pulvérisés
0907.20.00,"Girofles (antofles, clous et griffes).",Broyés ou pulvérisés
0908.11.00,"Noix muscades, macis, amomes et cardamomes.",Noix muscades : Non broyées ni pulvérisées
0908.12.00,"Noix muscades, macis, amomes et cardamomes.",Noix muscades : Broyées ou pulvérisées
0908.21.00,"Noix muscades, macis, amomes et cardamomes.",Macis : Non broyé ni pulvérisé
0908.22.00,"Noix muscades, macis, amomes et cardamomes.",Macis : Broyé ou pulvérisé
0908.31.00,"Noix muscades, macis, amomes et cardamomes.",Amomes et cardamomes : Non broyés ni pulvérisés
0908.32.00,"Noix muscades, macis, amomes et cardamomes.",Amomes et cardamomes : Broyés ou pulvérisés
0909.21.00,"Graines d'anis, de badiane, de fenouil, de coriandre, de cumin, de carvi; baies de genièvre.",Graines de coriandre : Non broyées ni pulvérisées
0909.22.00,"Graines d'anis, de badiane, de fenouil, de coriandre, de cumin, de carvi; baies de genièvre.",Graines de coriandre : Broyées ou pulvérisées
0909.31.00,"Graines d'anis, de badiane, de fenouil, de coriandre, de cumin, de carvi; baies de genièvre.",Graines de cumin : Non broyées ni pulvérisées
0909.32.00,"Graines d'anis, de badiane, de fenouil, de coriandre, de cumin, de carvi; baies de genièvre.",Graines de cumin : Broyées ou pulvérisées
0909.61.00,"Graines d'anis, de badiane, de fenouil, de coriandre, de cumin, de carvi; baies de genièvre.","Graines d'anis, de badiane, de carvi, de fenouil; baies de genièvre : Non broyées ni pulvérisées"
0909.62.00,"Graines d'anis, de badiane, de fenouil, de coriandre, de cumin, de carvi; baies de genièvre.","Graines d'anis, de badiane, de carvi, de fenouil; baies de genièvre : Broyées ou pulvérisées"
0910.11.00,"Gingembre, safran, curcuma, thym, feuilles de laurier, curry et autres épices.",Gingembre : Non broyé ni pulvérisé
0910.12.00,"Gingembre, safran, curcuma, thym, feuilles de laurier, curry et autres épices.",Gingembre : Broyé ou pulvérisé
0910.20.00,"Gingembre, safran, curcuma, thym, feuilles de laurier, curry et autres épices.",Safran
0910.30.00,"Gingembre, safran, curcuma, thym, feuilles de laurier, curry et autres épices.",Curcuma
0910.91.00,"Gingembre, safran, curcuma, thym, feuilles de laurier, curry et autres épices.",Autres épices : Mélanges visés à la Note 1 b) du présent Chapitre
0910.99.00,"Gingembre, safran, curcuma, thym, feuilles de laurier, curry et autres épices.",Autres épices : Autres
1001.19.10,Froment (blé) et méteil.,Froment (blé) dur : AutresDans les limites de l'engagement d'accès
1001.19.20,Froment (blé) et méteil.,Froment (blé) dur : AutresAu-dessus de l'engagement d'accès
1001.99.10,Froment (blé) et méteil.,Autres : AutresDans les limites de l'engagement d'accès
1001.99.20,Froment (blé) et méteil.,Autres : AutresAu-dessus de l'engagement d'accès
1002.90.00,Seigle.,Autres
1003.90.11,Orge.,AutresPour le maltage : Dans les limites de l'engagement d'accès
1003.90.12,Orge.,AutresPour le maltage : Au-dessus de l'engagement d'accès
1003.90.91,Orge.,AutresAutres : Dans les limites de l'engagement d'accès
1003.90.92,Orge.,AutresAutres : Au-dessus de l'engagement d'accès
1004.90.00,Avoine.,Autres
1006.20.00,Riz.,Riz décortiqué (riz cargo ou riz brun)
1006.30.00,Riz.,"Riz semi-blanchi ou blanchi, même poli ou glacé"
1101.00.10,Farines de froment (blé) ou de méteil.,Dans les limites de l'engagement d'accès
1101.00.20,Farines de froment (blé) ou de méteil.,Au-dessus de l'engagement d'accès
1205.10.00,"Graines de navette ou de colza, même concassées.",Graines de navette ou de colza à faible teneur en acide érucique
