Tariff Item,Harmonized System (HS) Heading,Indicative Description
1902.19.93,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Uncooked pasta, not stuffed or otherwise prepared: OtherOther: Other, containing 25% or more by weight of wheat, over access commitment"
1902.19.99,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Uncooked pasta, not stuffed or otherwise prepared: OtherOther: Other"
1902.30.11,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Other pastaLow protein or protein-free pasta, without meat, certified by Health Canada as special low protein or protein-free dietary products: Containing 25% or more by weight of wheat, within access commitment"
1902.30.12,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Other pastaLow protein or protein-free pasta, without meat, certified by Health Canada as special low protein or protein-free dietary products: Containing 25% or more by weight of wheat, over access commitment"
1902.30.19,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Other pastaLow protein or protein-free pasta, without meat, certified by Health Canada as special low protein or protein-free dietary products: Other"
1902.30.20,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Other pastaOther, containing 25% or more by weight of wheat, without meat, within access commitment"
1902.30.31,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Other pastaOther, containing 25% or more by weight of wheat, without meat, over access commitment: In packages of a weight not exceeding 2.3 kg each"
1902.30.39,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Other pastaOther, containing 25% or more by weight of wheat, without meat, over access commitment: Other"
1902.30.40,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.","Other pastaOther, without meat"
1905.90.51,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","OtherPizza and quiche; pastries, pies, puddings and cakes, including sweet products leavened with yeast; bakery products made without flour: Pizza and quiche"
2001.10.00,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.",Cucumbers and gherkins
2008.11.10,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Nuts, ground-nuts and other seeds, whether or not mixed together: Ground-nutsPeanut butter"
2008.11.90,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.","Nuts, ground-nuts and other seeds, whether or not mixed together: Ground-nutsOther"
2009.12.00,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.","Orange juice: Not frozen, of a Brix value not exceeding 20"
2103.10.00,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,Soya sauce
2103.20.10,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,Tomato ketchup and other tomato saucesTomato ketchup
2103.20.90,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,Tomato ketchup and other tomato saucesOther
2103.30.10,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,Mustard flour and meal and prepared mustardMustard flour and meal
2103.30.20,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,Mustard flour and meal and prepared mustardPrepared mustard
2103.90.10,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,OtherMayonnaise and salad dressing
2104.10.00,Soups and broths and preparations therefor; homogenized composite food preparations.,Soups and broths and preparations therefor
2105.00.92,"Ice cream and other edible ice, whether or not containing cocoa.",Other: Over access commitment
2106.90.21,Food preparations not elsewhere specified or included.,"OtherSyrups derived from cane or beet sugar, containing added colouring matter; Food concentrates and fruit syrups for use in beverages or other food preparations: Syrups derived from cane or beet sugar, containing, in the dry state, 90% or more by weight of sugar and no added flavouring matter"
2106.90.32,Food preparations not elsewhere specified or included.,"OtherMilk, cream or butter substitutes and preparations suitable for use as butter substitutes: Milk, cream or butter substitutes, containing 50% or more by weight of dairy content, over access commitment"
2106.90.34,Food preparations not elsewhere specified or included.,"OtherMilk, cream or butter substitutes and preparations suitable for use as butter substitutes: Preparations, containing more than 15% by weight of milk fat but less than 50% by weight of dairy content, suitable for use as butter substitutes, over access commitment"
2106.90.35,Food preparations not elsewhere specified or included.,"OtherMilk, cream or butter substitutes and preparations suitable for use as butter substitutes: Milk or cream substitutes, containing, in the dry state, over 10% by weight of milk solids but less than 50% by weight of dairy content; butter substitutes, containing, in the dry state, over 10% by weight of milk solids but 15% or less by weight of milk fat"
2106.90.39,Food preparations not elsewhere specified or included.,"OtherMilk, cream or butter substitutes and preparations suitable for use as butter substitutes: Other"
2106.90.52,Food preparations not elsewhere specified or included.,"OtherEgg preparations, containing 50% or more by weight of eggs: Over access commitment"
2106.90.94,Food preparations not elsewhere specified or included.,"OtherOther: Containing 50% or more by weight of dairy content, over access commitment"
2106.90.95,Food preparations not elsewhere specified or included.,"OtherOther: Other preparations, containing, in the dry state, over 10% by weight of milk solids but less than 50% by weight of dairy content"
2202.10.00,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 20.09.","Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured"
2202.99.31,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 20.09.",Other: OtherBeverages containing milk: Chocolate milk
2202.99.33,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 20.09.","Other: OtherBeverages containing milk: Other, containing 50% or more by weight of dairy content, not put up for retail sale, over access commitment"
2202.99.39,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 20.09.",Other: OtherBeverages containing milk: Other
2203.00.00,Beer made from malt.,
2204.10.10,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Sparkling wineOf an alcoholic strength by volume not exceeding 22.9% vol
2204.10.90,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Sparkling wineOther
2204.21.10,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume not exceeding 13.7% vol"
2204.21.21,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9%: Of an alcoholic strength by volume not exceeding 14.9% vol"
2204.21.22,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9%: Of an alcoholic strength by volume exceeding 14.9% vol but not exceeding 15.9% vol"
2204.21.23,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9%: Of an alcoholic strength by volume exceeding 15.9% vol but not exceeding 16.9% vol"
2204.21.24,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9%: Of an alcoholic strength by volume exceeding 16.9% vol but not exceeding 17.9% vol"
2204.21.25,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9%: Of an alcoholic strength by volume exceeding 17.9% vol but not exceeding 18.9% vol"
2204.21.26,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9%: Of an alcoholic strength by volume exceeding 18.9% vol but not exceeding 19.9% vol"
2204.21.27,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9%: Of an alcoholic strength by volume exceeding 19.9% vol but not exceeding 20.9% vol"
2204.21.28,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9%: Of an alcoholic strength by volume exceeding 20.9% vol but not exceeding 21.9% vol"
2204.21.31,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 21.9% vol but not exceeding 22.9% vol"
2204.21.32,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessWine, of an alcoholic strength by volume exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 22.9% vol"
2204.21.41,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessGrape must with fermentation prevented or arrested by the addition of alcohol: Of an alcoholic strength by volume not exceeding 22.9% vol
2204.21.49,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding 2 litres or lessGrape must with fermentation prevented or arrested by the addition of alcohol: Other
2204.22.10,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume not exceeding 13.7% vol"
2204.22.21,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume not exceeding 14.9% vol"
2204.22.22,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 14.9% vol but not exceeding 15.9% vol"
2204.22.23,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 15.9% vol but not exceeding 16.9% vol"
2204.22.24,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 16.9% vol but not exceeding 17.9% vol"
2204.22.25,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 17.9% vol but not exceeding 18.9% vol"
2204.22.26,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 18.9% vol but not exceeding 19.9% vol"
2204.22.27,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 19.9% vol but not exceeding 20.9% vol"
2204.22.28,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 20.9% vol but not exceeding 21.9% vol"
2204.22.31,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 21.9% vol but not exceeding 22.9% vol"
2204.22.32,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresWine, of an alcoholic strength by volume exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 22.9% vol"
2204.22.41,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresGrape must with fermentation prevented or arrested by the addition of alcohol: Of an alcoholic strength by volume not exceeding 22.9% vol
2204.22.49,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: In containers holding more than 2 litres but not more than 10 litresGrape must with fermentation prevented or arrested by the addition of alcohol: Other
2204.29.10,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume not exceeding 13.7% vol"
2204.29.21,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume not exceeding 14.9% vol"
2204.29.22,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 14.9% vol but not exceeding 15.9% vol"
2204.29.23,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 15.9% vol but not exceeding 16.9% vol"
2204.29.24,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 16.9% vol but not exceeding 17.9% vol"
2204.29.25,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 17.9% vol but not exceeding 18.9% vol"
2204.29.26,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 18.9% vol but not exceeding 19.9% vol"
2204.29.27,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 19.9% vol but not exceeding 20.9% vol"
2204.29.28,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 20.9% vol but not exceeding 21.9% vol"
2204.29.31,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 21.9% vol but not exceeding 22.9% vol"
2204.29.32,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.","Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherWine, of an alcoholic strength by volume exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 22.9% vol"
2204.29.41,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherGrape must with fermentation prevented or arrested by the addition of alcohol: Of an alcoholic strength by volume not exceeding 22.9% vol
2204.29.49,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Other wine; grape must with fermentation prevented or arrested by the addition of alcohol: OtherGrape must with fermentation prevented or arrested by the addition of alcohol: Other
2204.30.10,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Other grape mustOf an alcoholic strength by volume not exceeding 22.9% vol
2204.30.90,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",Other grape mustOther
2205.10.10,Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances.,In containers holding 2 litres or lessOf an alcoholic strength by volume not exceeding 18.3% vol
2205.10.20,Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances.,In containers holding 2 litres or lessOf an alcoholic strength by volume exceeding 18.3% vol but not exceeding 22.9% vol
2205.10.30,Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances.,In containers holding 2 litres or lessOf an alcoholic strength by volume exceeding 22.9% vol
2205.90.10,Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances.,OtherOf an alcoholic strength by volume not exceeding 18.3% vol
2205.90.20,Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances.,OtherOf an alcoholic strength by volume exceeding 18.3% vol but not exceeding 22.9% vol
2205.90.30,Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances.,OtherOf an alcoholic strength by volume exceeding 22.9% vol
2206.00.11,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Cider: Sparkling, of an alcoholic strength by volume not exceeding 22.9% vol"
2206.00.12,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",Cider: Other sparkling
2206.00.18,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Cider: Other cider, of an alcoholic strength by volume not exceeding 22.9% vol"
2206.00.19,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",Cider: Other
2206.00.21,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",Prune wine: Of an alcoholic strength by volume not exceeding 22.9% vol
2206.00.22,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",Prune wine: Of an alcoholic strength by volume exceeding 22.9% vol
2206.00.31,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Perry, sparkling: Of an alcoholic strength by volume not exceeding 22.9% vol"
2206.00.39,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Perry, sparkling: Other"
2206.00.41,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Other wine, sparkling: Of an alcoholic strength by volume not exceeding 22.9% vol"
2206.00.49,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Other wine, sparkling: Other"
2206.00.50,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume not exceeding 13.7% vol"
2206.00.61,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume not exceeding 14.9% vol"
2206.00.62,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 14.9% vol but not exceeding 15.9% vol"
2206.00.63,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 15.9% vol but not exceeding 16.9% vol"
2206.00.64,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 16.9% vol but not exceeding 17.9% vol"
2206.00.65,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 17.9% vol but not exceeding 18.9% vol"
2206.00.66,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 18.9% vol but not exceeding 19.9% vol"
2206.00.67,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 19.9% vol but not exceeding 20.9% vol"
2206.00.68,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 13.7% vol but not exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 20.9% vol but not exceeding 21.9% vol"
2206.00.71,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 21.9% vol: Of an alcoholic strength by volume not exceeding 22.9% vol"
2206.00.72,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Sake and other wine, not sparkling, of an alcoholic strength by volume exceeding 21.9% vol: Of an alcoholic strength by volume exceeding 22.9% vol"
2206.00.80,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",Ginger beer and herbal beer
2206.00.91,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",Other: Mead
2206.00.92,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Other: Other, of an alcoholic strength by volume not exceeding 22.9% vol"
2206.00.93,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.","Other: Other, of an alcoholic strength by volume exceeding 22.9% vol"
2208.20.00,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",Spirits obtained by distilling grape wine or grape marc
2208.30.00,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",Whiskies
2208.40.10,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",Rum and other spirits obtained by distilling fermented sugar-cane productsRum
2208.40.90,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",Rum and other spirits obtained by distilling fermented sugar-cane productsOther
2208.50.00,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",Gin and Geneva
2208.60.00,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",Vodka
2208.70.00,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",Liqueurs and cordials
2208.90.10,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",OtherTequila
2208.90.21,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",OtherUndenatured ethyl alcohol: For use as a spirituous or alcoholic beverage or for use in the manufacture of spirituous or alcoholic beverages
